番號,上班地點,上班時間,下班時間,下班地點,工時,備註
U15133,HUH,06:41 ,15:11 ,HUH,08:00,EMU
U15134,HTD,05:00 ,13:30 ,HTD,08:00,HB/Hot Standby
U15135,HUH,04:50 ,11:20 ,HUH,06:00,HUHP1 Run1
U15136,HUH,14:28 ,22:28 ,HUH,07:30,MKKP1 STOP
U15137,HUH,15:03 ,23:03 ,HUH,07:30,EMU
U15138,HUH,16:27 ,01:12 ,HTD,08:15,EMU
U15139,HUH,05:56 ,12:26 ,HUH,06:00,EMU
U15140,HUH,04:28 ,12:28 ,HUH,07:30,KB
U15141,HUH,06:34 ,13:04 ,HUH,06:00,EMU
U15142,HUH,17:14 ,01:44 ,HUH,08:00,HUHP1 STOP
U15143,HUH,16:34 ,01:04 ,HUH,08:00,EMU
U15144,HUH,06:15 ,12:45 ,HUH,06:00,EMU
U15145,HUH,08:01 ,16:16 ,HUH,07:45,EMU
U15146,HUH,14:14 ,22:14 ,HUH,07:30,EMU
U15147,HUH,12:50 ,21:20 ,HUH,08:00,EMU
U15148,HUH,11:26 ,19:41 ,HUH,07:45,EMU
U15149,HUH,04:50 ,11:20 ,HUH,06:00,HUHP4 Run2
U15150,HUH,04:28 ,10:58 ,HUH,06:00,MKKP1 Run4
U15151,HTD,05:26 ,11:56 ,HUH,06:00,Run27 + BY
U15152,HUH,17:46 ,01:46 ,HUH,07:30,HUHP4  STOP
U15153,HUH,18:06 ,01:51 ,HUH,07:15,SHTP1  STOP
U15154,HUH,16:41 ,01:11 ,HUH,08:00,EMU
U15155,HUH,06:37 ,14:52 ,HUH,07:45,EMU
U15156,HTD,06:36 ,13:06 ,HUH,06:00,Run29
U15157,HUH,15:10 ,21:40 ,HUH,06:00,MKKP1S STOP
U15158,HUH,15:45 ,22:15 ,HTD,06:00,EMU
U15159,HTD,12:00 ,19:30 ,HUH,07:00,HTD BY / T19(2)
U15301,HUH,08:00 ,14:30 ,HUH,06:00,P702/P705/P712
U15302,LOW,07:15 ,15:15 ,LOW,07:30,RS
U15303,HUH,22:10 ,06:10 ,HUH,07:30,ET12
U15304,HUH,22:10 ,06:10 ,HUH,07:30,ET6
U15305,HUH,22:10 ,06:10 ,HUH,07:30,ET5
U15306,HUH,10:15 ,17:15 ,HUH,06:30,P708/P713
U15307,HUH,13:32 ,22:02 ,HUH,08:00,EMU
U15308,HUH,13:30 ,22:15 ,HUH,08:15,P714/P717/P720
U15309,LOW,14:30 ,22:30 ,LOW,07:30,RS/MTT
U15310,HUH,13:30 ,21:45 ,HUH,07:45,P711/P718/P721
U15311,HUH,08:00 ,15:00 ,HUH,06:30,P703/P704/P707
U15312,HUH,07:48 ,16:33 ,HUH,08:15,EMU
U15313,HUH,22:10 ,06:10 ,HUH,07:30,ET8
U15314,HUH,22:10 ,06:10 ,HUH,07:30,ET3
U15315,HUH,22:10 ,06:10 ,HUH,07:30,ET1
U15316,LOW,07:15 ,15:15 ,LOW,07:30,RS
U15317,HUH,22:10 ,06:10 ,HUH,07:30,ET11
U15318,HUH,22:10 ,06:10 ,HUH,07:30,ET10
U15319,HUH,22:10 ,06:10 ,HUH,07:30,ET2
U15320,LOW,14:30 ,22:30 ,HUH,07:30,RS/MTT
U15321,HUH,22:10 ,06:10 ,HUH,07:30,ET9
U15322,HUH,22:10 ,06:10 ,HUH,07:30,ET7
U15323,HUH,22:10 ,06:10 ,HUH,07:30,ET4
U15501,SHS,04:55 ,11:25 ,HUH,06:00,LG2N(S)/LOW Step1
U15502,SHS,04:55 ,11:25 ,HUH,06:00,LOWP3 Run21
U15503,SHT,04:05 ,10:35 ,HTD,06:00,FOTP4 Run11
U15504,HUH,13:53 ,22:08 ,HUH,07:45,SG2S STOP
U15505,HUH,14:21 ,21:06 ,HUH,06:15,EMU
U15506,HUH,10:58 ,19:28 ,HUH,08:00,EMU
U15507,SHS,06:00 ,14:30 ,HUH,08:00,LG1S Run16 / HUH BY
U15508,SHT,04:05 ,11:35 ,HUH,07:00,SHTP4 Run9
U15509,HUH,16:17 ,00:17 ,HUH,07:30,LG2N STOP
U15510,HUH,18:03 ,01:48 ,HUH,07:15,SHSP2 STOP
U15511,HUH,14:35 ,21:05 ,HUH,06:00,LG1S STOP
U15512,SHS,04:55 ,12:55 ,HUH,07:30,SG2S Run15
U15513,SHS,04:55 ,12:40 ,HUH,07:15,LMC Step1
U15514,SHT,04:05 ,10:35 ,HTD,06:00,LOW Step2
U15515,HUH,13:11 ,21:11 ,HUH,07:30,LG1N STOP
U15516,HUH,11:40 ,19:55 ,HUH,07:45,LOW OFF
U15517,HUH,07:09 ,14:24 ,HUH,06:45,EMU
U15518,SHT,04:05 ,12:05 ,HUH,07:30,SB
U15519,SHS,04:55 ,13:25 ,HUH,08:00,LMCP2 Run23
U15520,HUH,17:53 ,01:23 ,HUH,07:00,LMCP1 STOP
U15521,HUH,15:24 ,21:54 ,HUH,06:00,EMU
U15522,HUH,13:25 ,21:25 ,HTD,07:30,EMU
U15523,HUH,07:26 ,14:11 ,HUH,06:15,EMU
U15524,SHS,04:55 ,12:55 ,HUH,07:30,LOWP1 Run20
U15525,SHT,04:05 ,10:35 ,HTD,06:00,FOTP1 Run10
U15526,HUH,18:00 ,01:45 ,HUH,07:15,LOWP3 STOP
U15527,HUH,16:00 ,00:30 ,HUH,08:00,SB
U15528,HTD,06:05 ,12:35 ,HUH,06:00,Run28
U15529,SHT,04:05 ,10:35 ,HUH,06:00,RACP1 Run12
U15530,HUH,17:21 ,01:36 ,HTD,07:45,EMU
U15531,LOW,15:32 ,00:17 ,HUH,08:15,LG2S Run16 (2)
U15532,HTD,16:03 ,00:48 ,HUH,08:15,Run1a / SHS OFF
U15533,HUH,07:36 ,14:06 ,HUH,06:00,EMU
