番號,上班地點,上班時間,下班時間,下班地點,工時,備註
Z14134,HTD,05:00 ,13:30 ,HTD,8:00,HB/Hot Standby
Z14135,HUH,04:50 ,11:20 ,HUH,6:00,HUHP1 Run1
Z14136,HUH,14:28 ,22:13 ,HUH,7:15,MKKP1 STOP
Z14137,HUH,15:03 ,23:03 ,HUH,7:30,EMU
Z14138,HUH,16:27 ,01:12 ,HTD,8:15,EMU
Z14139,HUH,05:56 ,12:26 ,HUH,6:00,EMU
Z14140,HUH,04:28 ,12:28 ,HUH,7:30,KB
Z14141,HUH,06:34 ,13:04 ,HTD,6:00,EMU
Z14142,HUH,17:14 ,01:44 ,HUH,8:00,HUHP1 STOP
Z14143,HUH,16:34 ,01:04 ,HUH,8:00,EMU
Z14144,HUH,06:15 ,12:45 ,HUH,6:00,EMU
Z14145,HUH,08:01 ,16:16 ,HUH,7:45,EMU
Z14146,HUH,14:14 ,22:14 ,HUH,7:30,EMU
Z14147,HUH,12:50 ,21:20 ,HUH,8:00,EMU
Z14148,HUH,11:26 ,19:41 ,HUH,7:45,EMU
Z14149,HUH,04:50 ,11:20 ,HUH,6:00,HUHP4 Run2
Z14150,HUH,04:28 ,10:58 ,HUH,6:00,MKKP1 Run4
Z14151,HTD,05:26 ,11:56 ,HUH,6:00,Run27
Z14152,HUH,17:46 ,01:46 ,HUH,7:30,HUHP4  STOP
Z14153,HUH,18:06 ,01:51 ,HUH,7:15,SHTP1  STOP
Z14154,HUH,16:41 ,01:11 ,HUH,8:00,EMU
Z14155,HUH,06:37 ,14:52 ,HUH,7:45,EMU
Z14156,HTD,06:36 ,13:06 ,HUH,6:00,Run29
Z14157,HUH,15:10 ,21:40 ,HUH,6:00,MKKP1S STOP
Z14158,HUH,15:45 ,22:15 ,HTD,6:00,EMU
Z14159,HTD,12:00 ,19:30 ,HUH,7:00,HTD BY / T19(2)
Z14301,HUH,08:00 ,14:30 ,HUH,6:00,P702/P705/P712
Z14302,LOW,07:15 ,15:15 ,LOW,7:30,RS
Z14303,HUH,22:10 ,06:10 ,HUH,7:30,ET12
Z14304,HUH,22:10 ,06:10 ,HUH,7:30,ET6
Z14305,HUH,22:10 ,06:10 ,HUH,7:30,ET5
Z14306,HUH,10:15 ,17:15 ,HUH,6:30,P708/P713
Z14307,HUH,13:32 ,22:02 ,HUH,8:00,EMU
Z14308,HUH,13:30 ,22:15 ,HUH,8:15,P714/P717/P720
Z14309,LOW,14:30 ,22:30 ,LOW,7:30,RS/MTT
Z14310,HUH,13:30 ,21:45 ,HUH,7:45,P711/P718/P721
Z14311,HUH,08:00 ,15:00 ,HUH,6:30,P703/P704/P707
Z14312,HUH,07:48 ,16:33 ,HUH,8:15,EMU
Z14313,HUH,22:10 ,06:10 ,HUH,7:30,ET8
Z14314,HUH,22:10 ,06:10 ,HUH,7:30,ET3
Z14315,HUH,22:10 ,06:10 ,HUH,7:30,ET1
Z14316,LOW,07:15 ,15:15 ,LOW,7:30,RS
Z14317,HUH,22:10 ,06:10 ,HUH,7:30,ET11
Z14318,HUH,22:10 ,06:10 ,HUH,7:30,ET10
Z14319,HUH,22:10 ,06:10 ,HUH,7:30,ET2
Z14320,LOW,14:30 ,22:30 ,HUH,7:30,RS
Z14321,HUH,22:10 ,06:10 ,HUH,7:30,ET9
Z14322,HUH,22:10 ,06:10 ,HUH,7:30,ET7
Z14323,HUH,22:10 ,06:10 ,HUH,7:30,ET4
Z14501,SHS,04:55 ,11:25 ,HUH,6:00,LG2N(S)/LOW Step1
Z14502,SHS,04:55 ,11:25 ,HUH,6:00,LOWP3 Run21
Z14503,SHT,04:05 ,10:35 ,HTD,6:00,FOTP4 Run11
Z14504,HUH,13:53 ,22:38 ,HUH,8:15,SG2S STOP
Z14505,HUH,14:21 ,21:06 ,HUH,6:15,EMU
Z14506,HUH,10:58 ,19:28 ,HUH,8:00,EMU
Z14507,SHS,06:00 ,14:30 ,HUH,8:00,LG1S Run16 / HUH BY
Z14508,SHT,04:05 ,11:35 ,HUH,7:00,SHTP4 Run9
Z14509,HUH,16:17 ,00:17 ,HUH,7:30,LG2N STOP
Z14510,HUH,18:03 ,01:48 ,HUH,7:15,SHSP2 STOP
Z14511,HUH,14:35 ,21:05 ,HUH,6:00,LG1S STOP
Z14512,SHS,04:55 ,12:55 ,HUH,7:30,SG2S Run15
Z14513,SHS,04:55 ,12:40 ,HUH,7:15,LMC Step1
Z14514,SHT,04:05 ,10:35 ,HTD,6:00,LOW Step2
Z14515,HUH,13:11 ,21:11 ,HUH,7:30,LG1N STOP
Z14516,HUH,11:40 ,19:55 ,HUH,7:45,LOW OFF
Z14517,HUH,07:09 ,14:24 ,HUH,6:45,EMU
Z14518,SHT,04:05 ,12:05 ,HUH,7:30,SB
Z14519,SHS,04:55 ,13:25 ,HUH,8:00,LMCP2 Run23
Z14520,HUH,17:53 ,01:23 ,HUH,7:00,LMCP1 STOP
Z14521,HUH,15:24 ,21:54 ,HUH,6:00,EMU
Z14522,HUH,13:25 ,21:40 ,HUH,7:45,EMU
Z14523,HUH,07:26 ,14:11 ,HUH,6:15,EMU
Z14524,SHS,04:55 ,12:55 ,HUH,7:30,LOWP1 Run20
Z14525,SHT,04:05 ,10:35 ,HUH,6:00,FOTP1 Run10
Z14526,HUH,18:00 ,01:45 ,HUH,7:15,LOWP3 STOP
Z14527,HUH,16:00 ,00:30 ,HUH,8:00,SB
Z14528,HTD,06:05 ,12:35 ,HUH,6:00,Run28
Z14529,SHT,04:05 ,10:35 ,HUH,6:00,RACP1 Run12
Z14530,HUH,17:21 ,01:36 ,HTD,7:45,EMU
Z14531,LOW,15:32 ,00:17 ,HUH,8:15,LG2S Run16 (2)
Z14532,HTD,16:03 ,00:48 ,HUH,8:15,Run1a / SHS OFF
Z14533,HUH,07:36 ,14:06 ,HUH,6:00,EMU
Z14534,SHS,04:55 ,11:25 ,HUH,6:00,LG2N(N) Run19
Z14535,SHT,04:05 ,10:35 ,HUH,6:00,SHTP1 Run6 / LOW OFF
Z14536,LOW,15:12 ,21:42 ,HUH,6:00,LG2N Run22 (2) / LG2S STOP
Z14537,HUH,16:56 ,01:26 ,HUH,8:00,LMCP2 STOP
Z14538,HUH,16:22 ,00:22 ,HUH,7:30,EMU
Z14539,SHS,04:55 ,11:25 ,HUH,6:00,LG1N Run18 / LG1N STOP
Z14540,HTD,05:22 ,13:52 ,HUH,8:00,Run26
Z14541,HUH,17:04 ,01:49 ,HUH,8:15,FOTP4  STOP
Z14542,LOW,15:44 ,00:29 ,HUH,8:15,LG1N Run2 (2) / TAPP1 STOP
Z14543,HUH,13:00 ,21:00 ,HUH,7:30,SB
Z14544,SHS,04:55 ,12:55 ,HUH,7:30,SHSP2 Run14
Z14545,SHT,04:05 ,10:35 ,HUH,6:00,TAPP1 Run13 / LG1S STOP
Z14546,HTD,15:51 ,00:36 ,HUH,8:15,Run14 (2)
Z14547,HTD,16:11 ,00:41 ,HUH,8:00,Run28 (2) / RACP1 STOP
Z14548,LOW,15:55 ,23:40 ,HUH,7:15,LG1S Run23 (2) / LMC OFF
Z14549,SHS,04:55 ,11:25 ,HUH,6:00,LMCP1 Run22
Z14550,SHS,04:55 ,12:40 ,HUH,7:15,LG2S Run17
Z14551,HUH,18:38 ,01:38 ,HUH,6:30,LOWP1  STOP
Z14552,HTD,16:30 ,00:45 ,HTD,7:45,HB
Z14553,HUH,13:39 ,21:54 ,HUH,7:45,EMU + PM BY
Z14554,HUH,08:20 ,14:50 ,HUH,6:00,EMU
Z14555,HUH,07:51 ,16:06 ,HUH,7:45,EMU / LWM BY
Z14556,HTD,06:13 ,14:43 ,HTD,8:00,Run30 / HTD BY
Z14557,HUH,15:59 ,00:44 ,HUH,8:15,SHTP4S STOP
