Name,Book On Location,Book On Time,BookOffTime,BookOffLocation,Duration,Remarks
Z71145,HUH,10:09 AM,05:24 PM,HUH,6:45,EMU
Z71146,HUH,12:27 PM,08:12 PM,HUH,7:15,EMU  OT
Z71147,HUH,01:07 PM,09:52 PM,HUH,8:15,EMU
Z71148,HUH,11:09 AM,06:39 PM,HUH,7:00,EMU
Z71149,HUH,04:50 AM,12:05 PM,HUH,6:45,HUHP4 T2/AM BY
Z71150,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP1 T4
Z71151,HUH,10:13 AM,05:28 PM,HUH,6:45,EMU
Z71152,HUH,06:33 PM,01:48 AM,HUH,6:45,HUHP4  STOP
Z71153,HUH,06:06 PM,01:51 AM,HUH,7:15,SHTP1  STOP
Z71154,HUH,04:18 PM,01:03 AM,HUH,8:15,EMU
Z71155,HUH,08:20 AM,05:05 PM,HUH,8:15,EMU
Z71156,HTD,08:04 AM,04:19 PM,HUH,7:45,T15a
Z71157,HUH,01:21 PM,09:21 PM,HUH,7:30,EMU
Z71158,HUH,12:44 PM,09:29 PM,HUH,8:15,EMU+ BY+EMU
Z71159,HUH,11:06 AM,06:21 PM,HUH,6:45,EMU
Z71301,HUH,07:40 AM,04:40 PM,HUH,8:30,P705/P706/P711/P716
Z71302,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
Z71303,HUH,11:30 PM,06:30 AM,HUH,7:00,MOL
Z71304,HUH,10:10 PM,06:10 AM,HUH,8:00,ET6
Z71305,HUH,10:10 PM,06:10 AM,HUH,8:00,ET5
Z71306,HUH,08:30 AM,03:00 PM,HUH,6:00,P704/P709/P714
Z71307,HUH,06:53 AM,03:38 PM,HUH,8:15,EMU
Z71308,HUH,10:10 PM,06:10 AM,HUH,8:00,ET8
Z71309,HUH,10:10 PM,06:10 AM,HUH,8:00,ET3
Z71310,HUH,10:10 PM,06:10 AM,HUH,8:00,ET1
Z71311,HUH,03:30 PM,12:30 AM,HUH,8:30,P721/P724/KB
Z71312,HUH,01:28 PM,09:28 PM,HUH,7:30,EMU
Z71313,HUH,02:40 PM,12:10 AM,HUH,9:00,P717/P722/P727/P728
Z71314,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
Z71315,HUH,01:30 PM,08:30 PM,HUH,6:30,P715/P720/P725
Z71316,LOW,07:15 AM,03:15 PM,LOW,7:30,
Z71317,HUH,06:15 AM,01:45 PM,HUH,7:00,P701/P702/P707/P710
Z71318,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
Z71319,HUH,10:10 PM,06:10 AM,HUH,8:00,ET10
Z71320,HUH,10:10 PM,06:10 AM,HUH,8:00,ET9
Z71321,HUH,10:10 PM,06:10 AM,HUH,8:00,ET7
Z71322,HUH,10:10 PM,06:10 AM,HUH,8:00,ET4
Z71323,HUH,10:10 PM,06:10 AM,HUH,8:00,ET2
Z71501,HTD,06:27 AM,02:27 PM,HUH,7:30,T28
Z71502,SHS,04:55 AM,11:40 AM,HUH,6:15,LOWP1 T20
