番號,上班地點,上班時間,下班時間,下班地點,工時,備註
B15504,HUH,13:53 ,22:08,HUH,07:45,SG2S STOP
B15505,HUH,14:21 ,21:06,HUH,06:15,EMU
B15506,HUH,10:58 ,19:13,HUH,07:45,EMU
B15507,SHS,06:00 ,14:30,HUH,08:00,LG2N T18 / HUH BY
B15508,SHT,04:05 ,11:35,HUH,07:00,SHTP4 T9
B15509,HUH,18:38 ,01:38,HTD,06:30,EMU
B15510,HUH,18:03 ,01:48,HUH,07:15,SHSP2 STOP
B15511,HUH,14:35 ,21:05,HUH,06:00,LG2S STOP
B15512,SHS,04:55 ,13:10,HUH,07:45,SG2S T15
B15513,SHS,04:55 ,12:40,HUH,07:15,LMC Step1
B15514,SHT,04:05 ,10:35,HTD,06:00,LOW Step1
B15515,HUH,13:11 ,21:41,HTD,08:00,EMU
B15516,HUH,11:40 ,19:55,HUH,07:45,EMU
B15517,HUH,07:09 ,14:39,HUH,07:00,EMU
B15518,SHT,04:05 ,12:05,HUH,07:30,SB
B15519,SHS,04:55 ,13:25,HUH,08:00,LMCP2 T23
B15520,HUH,17:53 ,01:23,HUH,07:00,LMCP1 STOP
B15521,HUH,15:24 ,21:54,HUH,06:00,LG2N STOP
B15522,HUH,13:25 ,21:25,HTD,07:30,EMU
B15523,HUH,07:26 ,14:11,HUH,06:15,EMU
B15524,SHS,04:55 ,12:55,HUH,07:30,LOWP3 T21
B15525,SHT,04:05 ,10:35,HUH,06:00,FOTP1 T10
B15526,HUH,18:00 ,01:45,HUH,07:15,LOWP3 STOP
B15527,HUH,16:00 ,00:30,HUH,08:00,SB
B15528,HTD,06:05 ,12:35,HUH,06:00,T28
B15529,SHT,04:05 ,10:35,HUH,06:00,RACP1 T12
B15530,HUH,17:21 ,01:36,HTD,07:45,EMU
B15531,LOW,16:18 ,00:33,HUH,07:45,LG2S T18a
B15532,HTD,16:09 ,00:54,HUH,08:15,SHS OFF
B15533,HUH,07:36 ,14:06,HUH,06:00,EMU
B15534,SHS,04:55 ,11:25,HUH,06:00,LG2N T19
B15535,SHT,04:05 ,10:35,HUH,06:00,SHTP1 T6 / LG1N STOP
B15536,LOW,15:32 ,22:02,HUH,06:00,LG1S T19a / RACP1 STOP
B15537,HUH,17:00 ,01:15,HUH,07:45,LMCP2 STOP
B15538,HUH,16:22 ,00:52,HUH,08:00,SHS OFF
B15539,SHS,04:55 ,11:25,HUH,06:00,LG2S T17
B15540,HTD,05:22 ,13:52,HUH,08:00,T26
B15541,HUH,17:04 ,01:49,HUH,08:15,FOTP4  STOP
B15542,LOW,15:45 ,00:30,HUH,08:15,LG2N T22a / TAPP1 STOP
B15543,HUH,13:00 ,21:00,HUH,07:30,SB
B15544,SHS,04:55 ,12:55,HUH,07:30,SHSP2 T14
B15545,SHT,04:05 ,10:35,HUH,06:00,TAPP1 T13 / LG1S STOP
B15546,HTD,15:51 ,22:21,HUH,06:00,T14a / LG1N STOP
B15547,HTD,16:11 ,23:41,HUH,07:00,T28a / LWM BY
B15548,LOW,15:55 ,23:25,HUH,07:00,LG1N T2a / LMC OFF
B15549,SHS,04:55 ,11:25,HUH,06:00,LMCP1 T22
B15550,SHS,04:55 ,12:40,HUH,07:15,LG1S T16
B15551,HUH,17:56 ,01:41,HUH,07:15,LOWP1  STOP
B15552,HTD,16:30 ,00:45,HTD,07:45,HB
B15553,HUH,13:39 ,21:54,HUH,07:45,EMU + PM BY
B15554,HUH,08:29 ,14:59,HUH,06:00,EMU
B15555,HUH,07:51 ,16:06,HUH,07:45,EMU / LWM BY
B15556,HTD,06:13 ,14:43,HTD,08:00,T30 / HTD BY
