Name,Book On Lcation,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
B13148,HUH,11:41 AM,06:56 PM,HUH,6:45,EMU
B13149,HUH,04:50 AM,12:20 PM,HUH,7:00,HUHP4 T2+AM BY
B13150,HUH,04:28 AM,12:28 PM,HUH,7:30,MKKP1 T4
B13151,HTD,05:31 AM,01:46 PM,HUH,7:45,T28
B13152,HUH,06:36 PM,01:51 AM,HUH,6:45,HUHP4 STOP
B13153,HUH,06:10 PM,01:55 AM,HUH,7:15,SHTP1 STOP
B13154,HUH,04:57 PM,01:12 AM,HUH,7:45,EMU
B13155,HUH,06:23 AM,01:53 PM,HUH,7:00,EMU
B13156,HTD,06:34 AM,02:49 PM,HUH,7:45,T31
B13157,HUH,02:00 PM,09:30 PM,HUH,7:00,EMU
B13158,HUH,12:38 PM,07:38 PM,HUH,6:30,EMU
B13159,HTD,12:00 PM,07:15 PM,HUH,6:45,HTD BY/T30a
B13301,HUH,07:40 AM,04:40 PM,HUH,8:30,P705/P706/P711/P716
B13302,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
B13303,HUH,11:30 PM,06:30 AM,HUH,7:00,MOL
B13304,HUH,10:10 PM,06:10 AM,HUH,8:00,ET6
B13305,HUH,10:10 PM,06:10 AM,HUH,8:00,ET5
B13306,HUH,08:30 AM,03:00 PM,HUH,6:00,P704/P709/P714
B13307,HUH,06:56 AM,03:41 PM,HUH,8:15,EMU
B13308,HUH,10:10 PM,06:10 AM,HUH,8:00,ET8
B13309,HUH,10:10 PM,06:10 AM,HUH,8:00,ET3
B13310,HUH,10:10 PM,06:10 AM,HUH,8:00,ET1
B13311,HUH,03:30 PM,12:30 AM,HUH,8:30,P721/P724/KB
B13312,HUH,01:37 PM,09:37 PM,HUH,7:30,EMU
B13313,HUH,02:40 PM,12:10 AM,HUH,9:00,P717/P722/P727/P728
B13314,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/ MTT
B13315,HUH,01:30 PM,08:30 PM,HUH,6:30,P715/P720/P725
