番號,上班地點,提早跟車,上班時間,下班時間,下班地點,工時,調整工時,備註
G15306,HUH,,10:15 ,17:15 ,HUH,06:30,,P708/P713
G15307,HUH,10:22 ,12:52 ,20:52 ,HTD,07:30,10:00,EMU
G15308,HUH,,13:30 ,22:15 ,HUH,08:15,,P714/P717/P720
G15309,LOW,,14:30 ,22:30 ,LOW,07:30,,RS/MTT
G15310,HUH,,13:30 ,21:45 ,HUH,07:45,,P711/P718/P721
G15311,HUH,,08:00 ,15:00 ,HUH,06:30,,P703/P704/P707
G15312,HUH,,08:18 ,15:48 ,HUH,07:00,,EMU
G15313,HUH,,22:10 ,06:10 ,HUH,07:30,,ET8
G15314,HUH,,22:10 ,06:10 ,HUH,07:30,,ET3
G15315,HUH,,22:10 ,06:10 ,HUH,07:30,,ET1
G15316,LOW,,07:15 ,15:15 ,LOW,07:30,,RS
G15317,HUH,,22:10 ,06:10 ,HUH,07:30,,ET11
G15318,HUH,,22:10 ,06:10 ,HUH,07:30,,ET10
G15319,HUH,,22:10 ,06:10 ,HUH,07:30,,ET2
G15320,LOW,,14:30 ,22:30 ,HUH,07:30,,RS/MTT
G15321,HUH,,22:10 ,06:10 ,HUH,07:30,,ET9
G15322,HUH,,22:10 ,06:10 ,HUH,07:30,,ET7
G15323,HUH,,22:10 ,06:10 ,HUH,07:30,,ET4
G15501,SHS,,04:55 ,13:40 ,HUH,08:15,,LOW Step2
G15502,SHS,,04:55 ,12:10 ,HUH,06:45,,LOWP3 Run23
G15503,SHT,,04:05 ,11:20 ,HTD,06:45,,FOTP4 Run11
G15504,HUH,12:35 ,15:05 ,21:50 ,HUH,06:15,08:45,SG2S STOP
G15505,HUH,,11:35 ,19:50 ,HUH,07:45,,SG3S STOP
G15506,,,,,,,,ROTEM Duties
G15507,SHS,,04:55 ,11:25 ,HUH,06:00,,SG3N Run17 / LG1N STOP
G15508,SHT,,04:05 ,10:35 ,HTD,06:00,,SHTP4 Run13
G15509,HUH,,15:41 ,00:11 ,HUH,08:00,,LG2N STOP
G15510,HUH,,16:56 ,01:41 ,HUH,08:15,,SHSP2 STOP
G15511,HUH,13:54 ,16:24 ,23:39 ,HUH,06:45,09:15,LG1S STOP
G15512,SHS,,06:00 ,13:30 ,HUH,07:00,,SG2S Run30
G15513,SHS,,04:55 ,13:25 ,HUH,08:00,,LMC Step1
G15514,SHT,,04:05 ,10:35 ,HUH,06:00,,LOW Step1
G15515,HUH,11:29 ,13:59 ,21:44 ,HUH,07:15,09:45,LG1N STOP
G15516,HUH,09:54 ,12:24 ,20:24 ,HTD,07:30,10:00,EMU
G15517,HUH,,04:55 ,12:55 ,HUH,07:30,,LG1N Run19
G15518,SHT,,04:05 ,12:05 ,HUH,07:30,,SB
G15519,SHS,,04:55 ,13:10 ,HUH,07:45,,LMCP2 Run24
G15520,LOW,,16:42 ,01:27 ,HUH,08:15,,SG3S Run4(2) / LMCP1 STOP
G15521,HUH,,15:16 ,00:01 ,HUH,08:15,,EMU
G15522,HUH,12:30 ,15:00 ,22:30 ,HUH,07:00,09:30,EMU
G15523,,,,,,,,ROTEM Duties
G15524,SHS,,04:55 ,12:40 ,HUH,07:15,,LOWP1 Run22
G15525,SHT,,04:05 ,10:35 ,HUH,06:00,,FOTP1 Run10
G15526,HTD,,17:10 ,01:40 ,HUH,08:00,,Run1(2) / LOWP3 STOP
G15527,HUH,,16:00 ,00:30 ,HUH,08:00,,SB
G15528,HUH,,07:24 ,15:54 ,HUH,08:00,,EMU
G15529,SHT,,04:05 ,11:20 ,HUH,06:45,,RACP1 Run12 / LG1S STOP
G15530,HUH,15:32 ,18:02 ,01:47 ,HTD,07:15,09:45,EMU
G15531,LOW,14:18 ,16:48 ,00:48 ,HTD,07:30,10:00,LG1S Run9(2)
G15532,HUH,15:06 ,17:36 ,00:51 ,HUH,06:45,09:15,SHS OFF
G15533,HUH,,06:00 ,13:15 ,HUH,06:45,,SG3S Run16
G15534,SHS,,04:55 ,12:40 ,HUH,07:15,,LG1S Run18
G15535,SHT,,04:05 ,10:35 ,HUH,06:00,,SHTP1 Run6 / SG3N STOP
G15536,HUH,15:52 ,18:22 ,01:37 ,HUH,06:45,09:15,LG2S STOP
G15537,HTD,,16:57 ,01:27 ,HUH,08:00,,Run6(2) / LMCP2 STOP
G15538,,,,,,,,ROTEM Duties
G15539,SHS,,04:55 ,13:25 ,HUH,08:00,,LG1N Run21
G15540,HTD,,05:26 ,11:56 ,HUH,06:00,,Run28
G15541,HUH,15:48 ,18:19 ,01:34 ,HUH,06:45,09:16,FOTP4  STOP
G15542,LOW,14:26 ,16:56 ,00:11 ,HUH,06:45,09:15,LG1N Run17(2) / TAPP1 STOP
G15543,HUH,10:30 ,13:00 ,21:00 ,HUH,07:30,10:00,SB
G15544,SHS,,04:55 ,11:55 ,HUH,06:30,,SHSP2 Run14
G15545,SHT,,04:05 ,10:35 ,HUH,06:00,,TAPP1 Run13 / SG3S STOP
G15546,HUH,,13:30 ,21:45 ,HTD,07:45,,EMU
G15547,HUH,,12:34 ,20:49 ,HUH,07:45,,SG3N STOP
G15548,LOW,13:17 ,15:47 ,23:32 ,HUH,07:15,09:45,SG3N Run16(2) / LMC OFF
G15549,SHS,,04:55 ,12:25 ,HUH,07:00,,LMCP1 Run24
G15550,SHS,,04:55 ,12:55 ,HUH,07:30,,LG2S Run19
G15551,HUH,16:09 ,18:39 ,01:54 ,HUH,06:45,09:15,LOWP1  STOP
G15552,HTD,,16:30 ,00:45 ,HTD,07:45,,HB
G15553,HUH,,13:40 ,21:55 ,HUH,07:45,,EMU
G15554,HUH,,08:02 ,16:17 ,HUH,07:45,,EMU
G15555,HUH,,07:28 ,15:13 ,HUH,07:15,,EMU
G15556,HTD,,05:59 ,12:29 ,HTD,06:00,,Run30
