Duty,Book On Location,Book On Time,Book off Time,Book Off Location,Duration,Remarks
Z15147,HUH,12:50 PM,09:20 PM,HUH,8:00,EMU
Z15148,HUH,11:26 AM,07:41 PM,HUH,7:45,EMU
Z15149,HUH,04:50 AM,11:20 AM,HUH,6:00,HUHP4 T2
Z15150,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP1 T4
Z15151,HTD,05:26 AM,11:56 AM,HUH,6:00,T27 + BY
Z15152,HUH,06:20 PM,01:50 AM,HUH,7:00,HUHP4  STOP
Z15153,HUH,07:12 PM,01:57 AM,HUH,6:15,SHTP1  STOP
Z15154,HUH,04:41 PM,01:11 AM,HUH,8:00,EMU
Z15155,HUH,06:37 AM,03:07 PM,HUH,8:00,EMU
Z15156,HTD,06:36 AM,01:06 PM,HUH,6:00,T29
Z15157,HUH,03:10 PM,09:40 PM,HUH,6:00,MKKP1S STOP
Z15158,HUH,03:45 PM,10:15 PM,HTD,6:00,EMU
Z15159,HTD,12:00 PM,07:30 PM,HUH,7:00,HTD BY / T16a
